Date,RSI
2000-10-13,9.938837920489306
2000-10-16,0.14492753623187582
2000-10-17,-15.151515151515142
2000-10-18,-8.125
2000-10-19,24.736842105263165
2000-10-20,51.63265306122449
2000-10-23,50.0
2000-10-24,54.18641390205371
2000-10-25,51.50501672240802
2000-10-26,51.82724252491694
2000-10-27,54.629629629629626
2000-10-30,51.324503311258276
2000-10-31,53.42857142857143
2000-11-01,11.068702290076345
2000-11-02,6.204379562043798
2000-11-03,20.220588235294116
2000-11-06,6.1688311688311614
2000-11-07,-32.63157894736841
2000-11-08,-34.91525423728814
2000-11-09,-2.5477707006369457
2000-11-10,-29.299363057324825
2000-11-13,-26.490066225165563
2000-11-14,11.549295774647888
2000-11-15,14.68144044321329
2000-11-16,20.34883720930233
2000-11-17,20.869565217391298
